	1Pulse-H_(Benzyl_benzoate)	1Pulse-H_(Cis_Decahydronaftalene)	1Pulse-H_(EthylPhenylPropiolate)	1Pulse-H_(m-Anisaldehyde)	1Pulse-H_(Mieszanina_4)	
-3.49656	2.54712e-05	2.08489e-05	-6.87691e-05	5.57272e-05	-4.35283e-05	
-3.4948	3.59298e-05	1.95272e-05	-9.63006e-05	3.79808e-05	-2.06262e-05	
-3.49305	1.18857e-05	-1.69768e-06	-6.98928e-05	5.09983e-05	2.27601e-06	
-3.49129	-1.21585e-05	-2.29226e-05	-4.34849e-05	6.40158e-05	2.51782e-05	
-3.48954	-2.77926e-05	2.7598e-06	-2.80335e-05	8.95052e-05	7.85272e-06	
-3.48778	-4.34267e-05	2.84422e-05	-1.25821e-05	7.50846e-05	-9.47271e-06	
-3.48602	-4.87099e-05	2.09526e-05	-1.51105e-05	3.65517e-05	1.33041e-05	
-3.48427	-5.39932e-05	1.3463e-05	-1.76389e-05	-1.98107e-06	3.6081e-05	
-3.48251	-4.82786e-05	9.7052e-06	-1.26758e-05	3.34544e-06	3.2159e-06	
-3.48076	-4.25641e-05	5.94743e-06	-7.71257e-06	8.67197e-06	-2.96492e-05	
-3.479	-3.68496e-05	2.18966e-06	1.52304e-05	2.3976e-05	-3.84529e-05	
-3.47725	-3.1135e-05	-1.56811e-06	3.81735e-05	3.928e-05	-4.72566e-05	
-3.47549	-7.73781e-06	3.23036e-05	8.58167e-06	4.78284e-05	-3.06204e-05	
-3.47373	1.56594e-05	6.61753e-05	-2.10101e-05	5.63768e-05	-1.39842e-05	
-3.47198	3.90567e-05	3.86788e-05	-8.64902e-06	4.49703e-05	-2.14094e-05	
-3.47022	6.24539e-05	-2.8624e-05	3.71214e-06	3.35637e-05	-2.88346e-05	
-3.46847	2.15896e-05	-5.1974e-05	4.83583e-06	7.47139e-07	-3.1247e-05	
-3.46671	-1.92747e-05	-3.55176e-05	5.95959e-06	-3.20694e-05	-3.36594e-05	
-3.46495	1.96611e-06	-2.15491e-05	3.70497e-05	-2.99648e-05	-3.60718e-05	
-3.4632	2.32069e-05	-4.73869e-05	6.81398e-05	1.20498e-05	-3.84842e-05	
-3.46144	1.17374e-05	-4.01305e-05	1.18943e-05	5.37785e-05	-3.85782e-05	
-3.45969	2.6793e-07	-3.28742e-05	-4.43511e-05	5.55973e-05	-3.86722e-05	
-3.45793	-1.12016e-05	-3.63987e-05	-4.81555e-05	4.91016e-05	-3.87662e-05	
-3.45618	-2.26711e-05	-7.97296e-05	7.97294e-06	4.26058e-05	-3.88602e-05	
-3.45442	-1.8183e-05	-8.28395e-05	4.08774e-05	4.87898e-05	-7.20385e-05	
-3.45266	-1.36949e-05	-4.6143e-05	1.38492e-05	5.49737e-05	-0.000105217	
-3.45091	1.14948e-05	-2.7691e-05	-5.68747e-06	5.11802e-05	-8.22521e-05	
-3.44915	3.66846e-05	-4.90455e-05	-2.52242e-05	4.73867e-05	-5.92873e-05	
-3.4474	4.67794e-05	-6.15887e-05	-3.3898e-05	3.99555e-05	-3.71997e-05	
-3.44564	5.68742e-05	-7.78786e-06	-4.25719e-05	3.25244e-05	-1.51121e-05	
-3.44388	3.24661e-05	4.85009e-05	-3.32659e-05	5.13828e-06	-1.70859e-05	
-3.44213	8.05804e-06	6.49832e-05	-2.396e-05	-2.22478e-05	-1.90597e-05	
-3.44037	1.98779e-05	8.80999e-05	-1.95235e-05	7.73658e-06	-2.12841e-05	
-3.43862	3.16979e-05	0.000111217	-1.50871e-05	3.7721e-05	-2.35085e-05	
-3.43686	-4.78618e-06	0.000111942	-1.06507e-05	4.77504e-05	-1.37022e-05	
-3.43511	-4.12703e-05	4.6324e-05	-6.21425e-06	5.77799e-05	-3.89598e-06	
-3.43335	-6.9506e-05	-2.27671e-05	-2.90285e-05	4.83221e-05	1.89592e-05	
-3.43159	-9.77417e-05	-5.20517e-05	-5.18427e-05	3.88643e-05	4.18143e-05	
-3.42984	-6.38723e-05	-6.14332e-05	-3.27041e-05	3.93839e-05	-7.51459e-06	
-3.42808	-3.00029e-05	-0.000110621	-1.35654e-05	3.99036e-05	-5.68435e-05	
-3.42633	-4.05559e-05	-0.000137418	-2.6266e-05	4.85299e-05	-3.47403e-05	
-3.42457	-5.11089e-05	-9.78706e-05	-3.89666e-05	5.71563e-05	-1.2637e-05	
-3.42281	-4.09603e-05	-2.76024e-06	-1.19617e-05	3.25244e-05	-1.45951e-05	
-3.42106	-3.08116e-05	5.25437e-05	1.50431e-05	7.89248e-06	-1.65533e-05	
-3.4193	-7.18521e-06	5.63274e-05	1.07706e-05	-1.67394e-05	-1.57544e-05	
-3.41755	1.64411e-05	6.01111e-05	-2.94616e-05	-4.13713e-05	-1.49554e-05	
-3.41579	4.00675e-05	4.39916e-05	-4.19749e-05	-6.84976e-05	-3.82179e-05	
-3.41404	6.36938e-05	2.7872e-05	-1.85285e-05	-5.5714e-05	-6.14804e-05	
-3.41228	4.63481e-05	-1.22972e-05	6.04155e-06	-1.71552e-05	-4.16329e-05	
-3.41052	2.90023e-05	-1.266e-05	-5.348e-06	2.14036e-05	-2.17854e-05	
-3.40877	-9.04515e-06	-2.2419e-06	-2.56114e-07	2.91985e-05	-2.59992e-05	
-3.40701	-4.70926e-05	8.17617e-06	4.07955e-05	3.69935e-05	-3.02131e-05	
-3.40526	-6.7646e-05	1.60675e-05	4.33708e-05	2.94324e-05	-6.00705e-05	
-3.4035	-8.81995e-05	2.39588e-05	-1.39868e-05	2.18713e-05	-8.99279e-05	
-3.40175	-6.0449e-05	5.17533e-05	-6.90968e-05	-1.64536e-05	-6.36421e-05	
-3.39999	-3.26984e-05	7.95478e-05	-6.42741e-05	-5.47786e-05	-3.73563e-05	
-3.39823	8.74425e-07	7.3341e-05	-1.86222e-05	-4.48791e-05	-1.65846e-05	
-3.39648	3.44473e-05	6.71342e-05	2.70297e-05	4.93041e-06	4.18712e-06	
-3.39472	5.91506e-06	4.35121e-05	1.05014e-05	2.14816e-05	8.97489e-07	
-3.39297	-2.26172e-05	1.989e-05	-6.02694e-06	-1.87714e-06	-2.39215e-06	
-3.39121	-1.44362e-05	2.51898e-05	-2.53646e-05	-2.18061e-05	-9.56671e-06	
-3.38945	-6.25526e-06	7.02959e-05	-4.47023e-05	-4.17351e-05	-1.67413e-05	
-3.3877	-8.42518e-06	0.000112914	-2.20871e-05	-1.75969e-05	-2.39158e-05	
-3.38594	-1.05951e-05	8.91884e-05	5.28176e-07	6.54136e-06	-3.10903e-05	
-3.38419	-1.59996e-05	5.42671e-05	2.61401e-05	1.65448e-05	-6.68378e-05	
-3.38243	-2.14042e-05	5.91522e-05	5.1752e-05	2.65483e-05	-0.000102585	
-3.38068	-6.107e-06	8.22819e-05	3.54109e-05	1.65968e-05	-9.82303e-05	
-3.37892	9.19015e-06	6.56052e-05	1.90699e-05	6.64529e-06	-9.38755e-05	
-3.37716	6.20091e-05	3.46231e-05	7.78568e-06	-8.24299e-06	-6.12767e-05	
-3.37541	0.000114828	4.34473e-05	-3.49857e-06	-2.31313e-05	-2.86779e-05	
-3.37365	7.79397e-05	6.88576e-05	2.71702e-05	-1.64017e-05	-6.82633e-05	
-3.3719	4.10514e-05	2.79239e-05	5.78389e-05	3.02379e-05	-0.000107849	
-3.37014	5.54859e-05	-3.87182e-05	4.99259e-05	4.44506e-05	-0.000121367	
