,Mieszanina_perfumy_bez menthonu
0.927135,0.0593621
0.928891,0.0585384
0.930647,0.0576997
0.932403,0.0568421
0.934159,0.0559694
0.935914,0.0551031
0.93767,0.0542869
0.939426,0.0534969
0.941182,0.0527371
0.942938,0.0520049
0.944694,0.0513028
0.946449,0.050649
0.948205,0.0500455
0.949961,0.0495034
0.951717,0.0490317
0.953473,0.0485926
0.955229,0.0481836
0.956984,0.0478124
0.95874,0.0474913
0.960496,0.0472285
0.962252,0.047016
0.964008,0.0468312
0.965764,0.0466764
0.967519,0.0465758
0.969275,0.0465454
0.971031,0.0465656
0.972787,0.046636
0.974543,0.0467193
0.976299,0.0468176
0.978054,0.0469388
0.97981,0.0470902
0.981566,0.0472621
0.983322,0.047434
0.985078,0.0476279
0.986834,0.0478519
0.988589,0.0480991
0.990345,0.0483764
0.992101,0.0486629
0.993857,0.0489493
0.995613,0.0492192
0.997369,0.049474
0.999124,0.0497335
1.00088,0.0500232
1.00264,0.0503169
1.00439,0.0505806
1.00615,0.0508247
1.0079,0.0510689
1.00966,0.0512976
1.01142,0.0514762
1.01317,0.0516162
1.01493,0.0517411
1.01668,0.0518742
1.01844,0.0520072
1.02019,0.0521042
1.02195,0.0522012
1.02371,0.0522808
1.02546,0.0523605
1.02722,0.0524401
1.02897,0.0525197
1.03073,0.0525809
1.03249,0.052642
1.03424,0.0526899
1.036,0.0527379
1.03775,0.0528345
1.03951,0.0529612
1.04126,0.0530879
1.04302,0.0532146
1.04478,0.0533564
1.04653,0.0535283
1.04829,0.0537215
1.05004,0.0539148
1.0518,0.0541497
1.05356,0.0544349
1.05531,0.0547521
1.05707,0.0550994
1.05882,0.0554643
1.06058,0.0558593
1.06233,0.0562996
1.06409,0.05679
1.06585,0.0573462
1.0676,0.0579527
1.06936,0.0586144
1.07111,0.0593463
1.07287,0.0601335
1.07463,0.060991
1.07638,0.0619113
1.07814,0.0629019
1.07989,0.0639337
1.08165,0.0649956
1.0834,0.0660953
1.08516,0.0672852
1.08692,0.0685832
1.08867,0.0699715
1.09043,0.0714075
1.09218,0.0729138
1.09394,0.0745134
1.0957,0.0762234
1.09745,0.0780376
1.09921,0.0799622
1.10096,0.0820281
1.10272,0.0842245
1.10447,0.0865703
1.10623,0.0890869
1.10799,0.0918387
1.10974,0.0948416
1.1115,0.098073
1.11325,0.101576
1.11501,0.105403
1.11677,0.109622
1.11852,0.114253
1.12028,0.119336
1.12203,0.124901
1.12379,0.130958
1.12554,0.137406
1.1273,0.144126
1.12906,0.150956
1.13081,0.157695
1.13257,0.164082
1.13432,0.169817
1.13608,0.174705
1.13784,0.178639
1.13959,0.181584
1.14135,0.183475
1.1431,0.184231
1.14486,0.183792
1.14661,0.182213
1.14837,0.17966
1.15013,0.17636
1.15188,0.172589
1.15364,0.168535
1.15539,0.16433
1.15715,0.160102
1.15891,0.155964
1.16066,0.151998
1.16242,0.148243
1.16417,0.144686
1.16593,0.141359
1.16768,0.138274
1.16944,0.13544
1.1712,0.132825
1.17295,0.1304
1.17471,0.128184
1.17646,0.126179
1.17822,0.124385
1.17998,0.122782
1.18173,0.121394
1.18349,0.120258
1.18524,0.11939
1.187,0.118753
1.18875,0.118334
1.19051,0.118146
1.19227,0.118205
1.19402,0.118516
1.19578,0.119031
1.19753,0.119757
1.19929,0.120698
1.20105,0.12185
1.2028,0.12321
1.20456,0.12476
1.20631,0.126512
1.20807,0.128495
1.20982,0.130701
1.21158,0.133118
1.21334,0.135749
1.21509,0.138591
1.21685,0.141669
1.2186,0.144978
1.22036,0.148487
1.22212,0.152226
1.22387,0.156219
1.22563,0.160464
1.22738,0.164963
1.22914,0.169693
1.23089,0.174682
1.23265,0.179962
1.23441,0.185536
1.23616,0.191422
1.23792,0.197646
1.23967,0.204241
1.24143,0.211207
1.24319,0.218585
1.24494,0.226402
1.2467,0.23469
1.24845,0.243472
1.25021,0.252786
1.25196,0.262689
1.25372,0.273225
1.25548,0.284438
1.25723,0.296363
1.25899,0.309079
1.26074,0.322648
1.2625,0.337135
1.26426,0.352577
1.26601,0.369002
1.26777,0.386441
1.26952,0.404866
1.27128,0.424145
1.27303,0.444045
1.27479,0.464275
1.27655,0.484531
1.2783,0.504516
1.28006,0.523989
1.28181,0.542768
1.28357,0.560697
1.28533,0.57757
1.28708,0.593137
1.28884,0.607188
1.29059,0.619598
1.29235,0.630351
1.2941,0.639423
1.29586,0.646778
1.29762,0.652359
1.29937,0.656102
1.30113,0.657974
1.30288,0.657929
1.30464,0.655888
1.3064,0.651848
1.30815,0.645847
1.30991,0.637988
1.31166,0.62838
1.31342,0.617177
1.31517,0.604568
1.31693,0.590744
1.31869,0.575892
1.32044,0.560186
1.3222,0.543828
1.32395,0.527039
1.32571,0.509977
1.32747,0.492785
1.32922,0.475566
1.33098,0.458478
1.33273,0.441606
1.33449,0.424986
1.33624,0.408669
1.338,0.392724
1.33976,0.377197
1.34151,0.362122
1.34327,0.347531
1.34502,0.333453
1.34678,0.319932
1.34854,0.306963
1.35029,0.294539
1.35205,0.282648
1.3538,0.271294
1.35556,0.260473
1.35731,0.250178
1.35907,0.240396
1.36083,0.231116
1.36258,0.222348
1.36434,0.214054
1.36609,0.206192
1.36785,0.198744
1.36961,0.191687
1.37136,0.184995
1.37312,0.178674
1.37487,0.172685
1.37663,0.166988
1.37838,0.161581
1.38014,0.156445
1.3819,0.151578
1.38365,0.146961
1.38541,0.142559
1.38716,0.138369
1.38892,0.13439
1.39068,0.130581
1.39243,0.126924
1.39419,0.123397
1.39594,0.120032
1.3977,0.116837
1.39945,0.113821
